sample_id,sample_role,condition,spectrum_file,relative_path,filter_label,filter_nm,bin_start_nm,bin_end_nm,bin_center_nm,mean_intensity_10nm,median_intensity_10nm,std_intensity_10nm,points_in_bin
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,550.0,560.0,554.966667,401.822083,398.57,33.307439,24.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,560.0,570.0,564.949739,317.687391,325.47,27.709935,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,570.0,580.0,574.905,337.652083,338.07,30.495788,24.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,580.0,590.0,585.043208,325.78375,325.47,30.449936,24.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,590.0,600.0,595.152042,337.126667,338.07,30.139286,24.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,600.0,610.0,605.02213,320.756957,325.47,32.212354,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,610.0,620.0,614.863458,326.1,330.51,32.801993,24.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,620.0,630.0,624.885125,311.500833,306.565,22.813466,24.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,630.0,640.0,634.876917,333.765833,333.03,38.643701,24.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,640.0,650.0,644.83875,328.934167,331.77,43.015365,24.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,650.0,660.0,654.97728,321.7392,322.95,26.714333,25.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,660.0,670.0,665.084458,322.423333,329.25,37.159461,24.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,670.0,680.0,674.95475,319.7975,321.69,40.147118,24.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,680.0,690.0,684.9992,329.9056,325.47,35.159962,25.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,690.0,700.0,695.012,339.3325,333.03,34.652607,24.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,700.0,710.0,704.99268,327.0828,327.99,30.371872,25.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,710.0,720.0,714.9415,325.680417,320.43,35.001519,24.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,720.0,730.0,724.85784,324.764,322.95,29.51992,25.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,730.0,740.0,734.94336,331.62,327.99,34.310269,25.0
