relative_path,file,environment,sample_id,condition,role,filter_label,filter_nm,points,wavelength_min,wavelength_max,raw_min,raw_max,raw_mean,raw_peak_wavelength_nm,raw_peak_intensity,reflectance_status,raw_i_532,refl_532,raw_i_556,refl_556,raw_i_680,refl_680,raw_i_725,refl_725,raw_i_850,refl_850,raw_i_940,refl_940,raw_ratio_850_680,raw_ratio_725_680,refl_ratio_850_680,refl_ratio_725_680
in cutie\Referinta alba\spectru\refirinta alba 532.txt,refirinta alba 532.txt,in cutie,in cutie/white_reference,white_reference,white_reference,532,532.0,2048,187.546,1034.421,-204.95,1125.91,312.642798,893.141,1125.91,not_sample,607.977103,,564.847247,,290.065488,,309.430619,,299.198653,,292.085389,,1.031487,1.066761,,
in cutie\Referinta alba\spectru\refirinta alba 725.txt,refirinta alba 725.txt,in cutie,in cutie/white_reference,white_reference,white_reference,725,725.0,2048,187.546,1034.421,-128.86,1043.2,324.680552,893.141,1043.2,not_sample,342.680187,,347.336188,,332.21561,,771.247748,,284.229275,,316.45681,,0.855557,2.321528,,
in cutie\Referinta alba\spectru\refirinta alba 850.txt,refirinta alba 850.txt,in cutie,in cutie/white_reference,white_reference,white_reference,850,850.0,2048,187.546,1034.421,-168.09,1127.49,316.727388,893.141,1127.49,not_sample,335.722921,,399.429882,,329.97,,353.551485,,484.08715,,359.879839,,1.467064,1.071466,,
in cutie\Referinta alba\spectru\refirinta alba 940.txt,refirinta alba 940.txt,in cutie,in cutie/white_reference,white_reference,white_reference,940,940.0,2048,187.546,1034.421,-133.12,1074.24,306.176245,893.141,1074.24,not_sample,358.697079,,297.662094,,296.240488,,311.142475,,301.914508,,337.703029,,1.019153,1.050304,,
in cutie\Refirinta neagra\referinta gri.txt,referinta gri.txt,in cutie,in cutie/dark_reference,dark_reference,dark_reference,,,2048,187.546,1034.421,-169.51,1098.34,347.392881,893.141,1098.34,not_sample,379.570537,,430.887341,,411.762439,,379.403119,,357.145104,,306.658097,,0.867357,0.921413,,
in cutie\Refirinta neagra\referinta neagra fara .txt,referinta neagra fara .txt,in cutie,in cutie/dark_reference,dark_reference,dark_reference,none,,2048,187.546,1034.421,-151.86,1143.71,327.826421,893.141,1143.71,not_sample,397.322009,,413.193247,,340.879268,,333.730495,,340.186606,,291.158713,,0.997968,0.979028,,
in cutie\Set frunze 1\frunza nesanatoasa\spectru\532.txt,532.txt,in cutie,in cutie/Set frunze 1/frunza nesanatoasa,unhealthy,sample,532,532.0,2048,187.546,1034.421,-153.91,1144.18,307.845161,893.141,1144.18,ok,373.696636,-0.025347,384.387129,-0.359982,323.524878,0.923831,335.198515,0.618005,311.195285,-0.507318,288.919544,0.632836,0.96189,1.036083,-0.549146,0.668959
in cutie\Set frunze 1\frunza nesanatoasa\spectru\556.txt,556.txt,in cutie,in cutie/Set frunze 1/frunza nesanatoasa,unhealthy,sample,556,556.0,2048,187.546,1034.421,-166.2,1144.5,316.669609,893.141,1144.5,ok,403.349907,0.114891,388.567176,-0.172203,326.262683,1.04733,317.75,-0.699313,275.572435,1.283018,323.095067,10.731378,0.844634,0.973908,1.225037,-0.66771
in cutie\Set frunze 1\frunza nesanatoasa\spectru\680.txt,680.txt,in cutie,in cutie/Set frunze 1/frunza nesanatoasa,unhealthy,sample,680,680.0,2048,187.546,1034.421,-182.27,1171.28,302.961548,893.141,1171.28,ok,307.426542,1.550464,358.318494,0.670841,346.619756,-0.201805,338.610495,0.45085,316.263394,1.647613,334.902654,0.719535,0.912422,0.976893,-8.164381,-2.234087
in cutie\Set frunze 1\frunza nesanatoasa\spectru\725.txt,725.txt,in cutie,in cutie/Set frunze 1/frunza nesanatoasa,unhealthy,sample,725,725.0,2048,187.546,1034.421,-205.43,1211.14,326.418535,893.141,1211.14,ok,321.570187,1.608877,264.189341,1.987597,331.70378,1.022841,584.327401,0.517193,343.66829,0.171255,274.16008,1.057443,1.03607,1.761594,0.167431,0.505644
in cutie\Set frunze 1\frunza nesanatoasa\spectru\850.txt,850.txt,in cutie,in cutie/Set frunze 1/frunza nesanatoasa,unhealthy,sample,850,850.0,2048,187.546,1034.421,-161.47,1204.68,325.478188,893.141,1204.68,ok,336.991262,4.218005,280.051718,5.555826,344.637561,0.432916,311.988045,-23.61638,463.387927,0.788622,346.740912,0.761914,1.344566,0.905264,1.821651,-54.551876
in cutie\Set frunze 1\frunza nesanatoasa\spectru\950.txt,950.txt,in cutie,in cutie/Set frunze 1/frunza nesanatoasa,unhealthy,sample,950,950.0,2048,187.546,1034.421,-132.8,1195.54,312.668301,893.141,1195.54,ok,314.355911,-0.179094,291.148071,-0.388036,305.534146,-0.162748,283.32703,-0.174512,323.183187,-0.270156,299.084772,-0.210071,1.057765,0.927317,1.659965,1.072284
in cutie\Set frunze 1\frunza nesanatoasa\spectru\fara filtru.txt,fara filtru.txt,in cutie,in cutie/Set frunze 1/frunza nesanatoasa,unhealthy,sample,none,,2048,187.546,1034.421,-163.21,1238.23,390.953828,893.141,1238.23,ok,373.07264,-0.022744,443.828282,0.036424,326.218171,-0.131927,631.721609,0.447425,478.606425,0.613277,353.057346,0.479092,1.467136,1.9365,-4.648609,-3.391459
in cutie\Set frunze 1\frunza verde\spectru\532.txt,532.txt,in cutie,in cutie/Set frunze 1/frunza verde,healthy,sample,532,532.0,2048,187.546,1034.421,-139.26,1133.63,309.783535,893.141,1133.63,ok,368.383621,-0.048767,394.970282,-0.290825,283.028049,2.389679,344.16604,0.492592,365.11114,0.830798,303.342118,0.115091,1.290018,1.216014,0.347661,0.206133
in cutie\Set frunze 1\frunza verde\spectru\556.txt,556.txt,in cutie,in cutie/Set frunze 1/frunza verde,healthy,sample,556,556.0,2048,187.546,1034.421,-143.99,1098.66,324.265933,893.141,1098.66,ok,392.996893,0.065627,449.214965,0.07255,330.066463,0.705228,346.172946,0.527023,355.259223,1.592055,337.518794,76.965763,1.076326,1.048798,2.257504,0.747309
in cutie\Set frunze 1\frunza verde\spectru\680.txt,680.txt,in cutie,in cutie/Set frunze 1/frunza verde,healthy,sample,680,680.0,2048,187.546,1034.421,-164.15,1154.11,297.050181,893.141,1154.11,ok,285.822991,2.020769,309.244188,1.124188,351.338659,-0.181879,306.007871,0.754296,266.042668,4.732502,330.481287,2.476274,0.757226,0.870977,-26.020057,-4.147241
in cutie\Set frunze 1\frunza verde\spectru\725.txt,725.txt,in cutie,in cutie/Set frunze 1/frunza verde,healthy,sample,725,725.0,2048,187.546,1034.421,-153.28,1205.31,322.653521,893.141,1205.31,ok,318.166893,1.679649,288.057906,1.702039,302.358171,1.267501,533.024579,0.416347,278.557332,1.053293,337.060161,15.730824,0.921283,1.762891,0.831,0.328479
in cutie\Set frunze 1\frunza verde\spectru\850.txt,850.txt,in cutie,in cutie/Set frunze 1/frunza verde,healthy,sample,850,850.0,2048,187.546,1034.421,-184.95,1153.48,326.007158,893.141,1153.48,ok,325.823271,2.188611,341.482376,3.260065,309.425976,0.217308,322.21396,-11.170601,462.57886,0.834519,362.468177,1.057024,1.494958,1.041328,3.840259,-51.404463
in cutie\Set frunze 1\frunza verde\spectru\940.txt,940.txt,in cutie,in cutie/Set frunze 1/frunza verde,healthy,sample,940,940.0,2048,187.546,1034.421,-166.99,1151.27,304.773218,893.141,1151.27,ok,320.186542,2.752933,335.842588,0.714037,330.699146,0.663183,326.335421,0.575603,322.396969,-0.483406,304.886971,4.069505,0.974895,0.986805,-0.728918,0.86794
in cutie\Set frunze 1\frunza verde\spectru\fara filtru.txt,fara filtru.txt,in cutie,in cutie/Set frunze 1/frunza verde,healthy,sample,none,,2048,187.546,1034.421,-173.45,1243.12,395.920176,893.141,1243.12,ok,425.85264,0.11748,400.429129,-0.087905,312.995122,-0.154735,669.612129,0.515777,507.670933,0.686903,359.860536,0.588542,1.621977,2.139369,-4.439222,-3.333292
in cutie\Set frunze 2\nesanatoasa\spectru\532.txt,532.txt,in cutie,in cutie/Set frunze 2/nesanatoasa,unhealthy,sample,532,532.0,2048,187.546,1034.421,-148.08,1160.1,317.127461,893.141,1160.1,ok,410.570981,0.135463,442.097624,0.077773,318.379512,1.441479,292.901485,1.219715,356.446036,1.393586,316.606354,0.021319,1.119563,0.919976,0.966775,0.846155
in cutie\Set frunze 2\nesanatoasa\spectru\556.txt,556.txt,in cutie,in cutie/Set frunze 2/nesanatoasa,unhealthy,sample,556,556.0,2048,187.546,1034.421,-160.37,1208.3,313.717129,893.141,1208.3,ok,398.284182,0.072675,519.390659,0.352885,312.024878,1.197118,338.653589,-0.82872,325.945104,0.194233,347.920751,71.385437,1.044613,1.085342,0.162251,-0.692263
in cutie\Set frunze 2\nesanatoasa\spectru\580.txt,580.txt,in cutie,in cutie/Set frunze 2/nesanatoasa,unhealthy,sample,580,580.0,2048,187.546,1034.421,-152.65,1205.94,315.317085,893.141,1205.94,ok,311.439369,-0.186135,353.482659,-0.217094,325.551098,-0.133566,316.463441,-0.119183,460.198316,0.604964,282.128633,-0.358502,1.413598,0.972085,-4.529326,0.892315
in cutie\Set frunze 2\nesanatoasa\spectru\680.txt,680.txt,in cutie,in cutie/Set frunze 2/nesanatoasa,unhealthy,sample,680,680.0,2048,187.546,1034.421,-162.42,1150.8,318.534297,893.141,1150.8,ok,308.620631,1.462597,360.810494,0.651715,505.007561,0.262784,334.320619,0.791823,318.318497,2.356873,307.843324,-0.301953,0.630324,0.662011,8.96886,3.013209
in cutie\Set frunze 2\nesanatoasa\spectru\725.txt,725.txt,in cutie,in cutie/Set frunze 2/nesanatoasa,unhealthy,sample,725,725.0,2048,187.546,1034.421,-162.26,1166.08,317.430186,893.141,1166.08,ok,288.413645,2.601783,308.668282,1.479219,279.02439,1.631543,560.363317,0.430824,276.556813,1.11015,326.392198,7.399321,0.991156,2.008295,0.68043,0.264059
in cutie\Set frunze 2\nesanatoasa\spectru\940.txt,940.txt,in cutie,in cutie/Set frunze 2/nesanatoasa,unhealthy,sample,940,940.0,2048,187.546,1034.421,-173.13,1233.35,302.039673,893.141,1233.35,ok,323.328995,2.199793,312.344588,0.893117,307.869756,0.873213,309.29802,1.125122,319.835855,-0.40671,340.842574,-4.584787,1.038867,1.004639,-0.465763,1.288485
in cutie\Set frunze 2\nesanatoasa\spectru\fara filtru.txt,fara filtru.txt,in cutie,in cutie/Set frunze 2/nesanatoasa,unhealthy,sample,none,,2048,187.546,1034.421,-140.99,1361.27,454.144541,893.141,1361.27,ok,475.433995,0.255393,526.538282,0.266098,645.765976,0.367445,672.775272,0.506951,495.476632,0.779637,369.551743,0.751264,0.76727,1.041825,2.121779,1.379665
in cutie\Set frunze 2\sanatoasa\spectru\532.txt,532.txt,in cutie,in cutie/Set frunze 2/sanatoasa,healthy,sample,532,532.0,2048,187.546,1034.421,-168.09,1205.62,314.468945,893.141,1205.62,ok,354.56764,-0.10984,302.870118,-1.014024,338.204024,0.531233,331.97802,0.664662,338.414171,0.380946,317.141367,0.88936,1.000621,0.981591,0.717098,1.251169
in cutie\Set frunze 2\sanatoasa\spectru\556.txt,556.txt,in cutie,in cutie/Set frunze 2/sanatoasa,healthy,sample,556,556.0,2048,187.546,1034.421,-172.97,1215.86,327.393203,893.141,1215.86,ok,353.120257,-0.106751,410.328776,-0.082182,285.188171,1.235515,336.061485,-0.096822,328.208705,0.299502,336.822869,33.19367,1.15085,1.178385,0.242411,-0.078366
in cutie\Set frunze 2\sanatoasa\spectru\680.txt,680.txt,in cutie,in cutie/Set frunze 2/sanatoasa,healthy,sample,680,680.0,2048,187.546,1034.421,-151.71,1216.97,319.9977,893.141,1216.97,ok,297.357173,1.708906,303.4164,1.181446,267.173049,-0.441939,374.09198,-0.21705,305.845285,1.665571,319.598418,4.921268,1.144746,1.400186,-3.76878,0.491131
in cutie\Set frunze 2\sanatoasa\spectru\725.txt,725.txt,in cutie,in cutie/Set frunze 2/sanatoasa,healthy,sample,725,725.0,2048,187.546,1034.421,-143.04,1167.66,314.88499,893.141,1167.66,ok,335.451449,1.501121,342.456847,1.073939,319.510732,1.177919,550.238515,0.448539,330.022254,0.366425,344.031287,12.959618,1.032899,1.722128,0.311078,0.380789
in cutie\Set frunze 2\sanatoasa\spectru\850.txt,850.txt,in cutie,in cutie/Set frunze 2/sanatoasa,healthy,sample,850,850.0,2048,187.546,1034.421,-152.34,1145.76,301.981836,893.141,1145.76,ok,308.025561,1.301784,301.423365,4.77723,317.872927,0.270788,303.89,-22.773079,425.658679,0.566294,272.664853,-0.614532,1.339084,0.956011,2.091282,-84.099292
in cutie\Set frunze 2\sanatoasa\spectru\940.txt,940.txt,in cutie,in cutie/Set frunze 2/sanatoasa,healthy,sample,940,940.0,2048,187.546,1034.421,-174.71,1221.69,319.267959,893.141,1221.69,ok,325.076542,2.503332,317.361435,0.853718,346.714024,0.51605,349.929035,0.384664,327.28171,-0.336052,339.077882,-2.515384,0.943953,1.009273,-0.6512,0.745401
in cutie\Set frunze 2\sanatoasa\spectru\fara filtru.txt,fara filtru.txt,in cutie,in cutie/Set frunze 2/sanatoasa,healthy,sample,none,,2048,187.546,1034.421,-210.94,1238.39,374.356255,893.141,1238.39,ok,377.663902,-0.004889,353.355741,-0.217544,291.115122,-0.184364,538.836436,0.275939,486.340751,0.610824,345.462654,0.337323,1.670613,1.850939,-3.313141,-1.496708
in cutie\spectru sursa.txt,spectru sursa.txt,in cutie,in cutie/source_light,source_light,source_light,,,2048,187.546,1034.421,-123.51,46325.68,15181.33019,611.727,46325.68,not_sample,29360.09764,,34855.858824,,37786.770732,,31735.504851,,12649.169249,,2935.267426,,0.334751,0.839858,,
