relative_path,environment,sample_id,condition,role,filter_label,wavelength_nm,raw_intensity,reflectance
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,436.774,350.36,-0.523392
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,440.283,340.28,-0.518267
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,443.789,345.32,-0.542304
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,447.292,378.09,-0.57611
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,450.791,373.05,-0.586892
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,454.288,362.96,-0.624717
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,457.781,330.2,-0.616189
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,461.271,418.42,-0.651612
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,464.759,496.55,-0.64952
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,468.243,526.8,-0.670526
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,471.724,650.31,-0.689308
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,475.202,799.02,-0.704703
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,478.677,930.09,-0.729653
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,482.149,851.95,-0.768624
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,485.617,756.17,-0.761653
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,489.083,788.94,-0.835701
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,492.545,670.47,-0.849972
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,496.005,678.04,-0.878059
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,499.461,768.78,-0.884283
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,502.914,741.05,-0.866646
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,506.364,952.78,-0.937795
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,509.81,1056.12,-0.968541
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,513.254,1522.43,-0.980804
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,516.695,3617.03,-0.827701
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,520.132,5986.37,-0.730138
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,523.566,9532.82,-0.587294
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,526.997,9989.05,-0.577551
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,530.425,10581.38,-0.585457
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,533.849,11057.77,-0.542473
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,537.271,11186.32,-0.541908
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,540.689,10541.05,-0.556997
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,544.104,11367.8,-0.535582
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,547.516,11297.23,-0.538461
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,550.924,10611.63,-0.612251
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,554.33,8181.79,-0.753641
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,557.732,5792.29,-0.974129
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,561.131,2916.31,-1.165256
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,564.527,914.97,-1.378901
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,567.919,524.28,-1.480601
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,571.309,456.22,-1.50708
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,574.695,410.85,-1.572146
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,578.077,383.13,-1.537147
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,581.457,408.33,-1.591228
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,584.833,380.61,-1.520133
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,588.207,413.37,-1.687695
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,591.576,438.58,-1.663588
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,594.943,403.29,-1.624703
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,598.306,378.09,-1.675279
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,601.666,458.74,-1.720571
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,605.023,478.91,-1.593039
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,608.377,355.4,-1.628073
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,611.727,488.99,-1.660156
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,615.074,461.27,-1.58945
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,618.417,380.61,-1.604002
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,621.758,403.29,-1.479268
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,625.095,446.14,-1.446902
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,628.428,499.07,-1.535145
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,631.759,380.61,-1.47584
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,635.086,488.99,-1.434501
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,638.41,408.33,-1.446108
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,641.73,380.61,-1.403114
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,645.047,357.92,-1.431781
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,648.361,352.88,-1.403819
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,651.672,337.76,-1.395079
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,654.979,330.2,-1.387629
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,658.282,347.84,-1.410121
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,661.583,383.13,-1.353055
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,664.88,357.92,-1.330075
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,668.173,441.1,-1.314126
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,671.464,340.28,-1.292961
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,674.751,355.4,-1.380829
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,678.034,352.88,-1.379811
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,681.314,368.0,-1.349252
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,684.591,423.46,-1.389362
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,687.865,390.69,-1.385984
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,691.135,433.54,-1.361975
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,694.401,342.8,-1.329296
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,697.664,458.74,-1.244171
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,700.924,317.59,-1.376151
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,704.18,373.05,-1.374214
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,707.433,370.52,-1.321898
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,710.683,347.84,-1.319208
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,713.929,362.96,-1.242725
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,717.172,340.28,-1.355338
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,720.411,292.39,-1.33999
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,723.647,327.67,-1.241895
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,726.879,362.96,-1.24443
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,730.108,347.84,-1.24339
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,733.333,299.95,-1.40464
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,736.555,370.52,-1.163496
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,739.774,325.15,-1.208945
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,742.989,355.4,-1.189423
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,746.201,350.36,-1.257196
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,749.409,272.22,-1.194209
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,752.613,368.0,-1.119059
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,755.814,373.05,-1.135141
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,759.012,368.0,-1.144129
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,762.206,342.8,-1.052055
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,765.397,337.76,-1.177933
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,768.584,264.66,-1.192535
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,771.767,375.57,-0.973831
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,774.948,325.15,-1.077852
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,778.124,345.32,-1.177975
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,781.297,327.67,-1.084191
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,784.467,297.43,-1.237274
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,787.633,340.28,-1.273283
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,790.795,294.91,-1.132801
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,793.954,390.69,-1.051375
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,797.109,330.2,-1.071393
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,800.261,312.55,-1.28966
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,803.409,330.2,-1.134589
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,806.554,337.76,-0.978456
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,809.695,320.11,-1.202921
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,812.833,337.76,-1.063607
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,815.967,352.88,-1.195342
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,819.097,304.99,-1.234698
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,822.224,350.36,-1.170109
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,825.347,284.83,-1.26229
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,828.467,340.28,-1.082789
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,831.583,357.92,-0.990329
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,834.695,425.98,-1.052631
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,837.804,362.96,-1.09531
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,840.909,294.91,-1.274465
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,844.011,393.21,-1.066505
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,847.109,257.1,-1.055001
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,850.203,325.15,-0.858524
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,853.294,317.59,-1.139873
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,856.381,259.62,-0.93373
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,859.464,347.84,-0.870271
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,862.544,335.24,-1.164833
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,865.62,327.67,-1.258323
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,868.693,325.15,-0.997773
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,871.762,297.43,-1.17476
afara\fr1\nesan\532.txt,afara,afara/fr1/nesan,unhealthy,sample,532,874.827,274.74,-1.141323
