sample_id,condition,filter_nm,camera_leaf_brightness_median_0_1,camera_leaf_brightness_mean_0_1,camera_leaf_brightness_median_0_255,camera_white_normalized_median,camera_white_normalized_mean,spectrometer_10nm_bin_start_nm,spectrometer_10nm_bin_end_nm,spectrometer_10nm_median_intensity,spectrometer_10nm_mean_intensity,matched,camera_raw_shape_0_1,camera_white_shape_0_1,spectrometer_shape_0_1,abs_difference_white_camera_vs_spectrometer_shape
in cutie\Set frunze 2\nesanatoasa,unhealthy,940,0.360784,0.340501,92.0,0.730158,0.663173,940.0,950.0,330.98,328.08963,True,0.589743,0.599104,0.617569,0.018465
in cutie\Set frunze 2\sanatoasa,healthy,532,0.305882,0.326366,78.0,0.553191,0.553882,530.0,540.0,368.79,358.92913,True,0.340611,0.309207,0.727009,0.417802
in cutie\Set frunze 2\sanatoasa,healthy,556,0.309804,0.32789,79.0,0.598485,0.638163,550.0,560.0,376.51,382.917917,True,0.344978,0.334525,0.742228,0.407703
in cutie\Set frunze 2\sanatoasa,healthy,680,0.156863,0.198127,40.0,0.25974,0.328315,680.0,690.0,334.76,336.68,True,0.174673,0.145182,0.659925,0.514742
in cutie\Set frunze 2\sanatoasa,healthy,725,0.67451,0.679433,172.0,1.170068,1.224629,720.0,730.0,507.27,503.838,True,0.751092,0.654012,1.0,0.345988
in cutie\Set frunze 2\sanatoasa,healthy,850,0.898039,0.89978,229.0,1.789061,1.859188,850.0,860.0,407.23,407.424615,True,1.0,1.0,0.802787,0.197213
in cutie\Set frunze 2\sanatoasa,healthy,940,0.533333,0.50852,136.0,1.079364,0.990414,940.0,950.0,344.53,341.824444,True,0.593886,0.603313,0.679185,0.075872
in cutie\frunza sanatoasa dar galbena,healthy_yellow,532,0.254902,0.253627,65.0,0.460993,0.430435,530.0,540.0,416.21,410.511304,True,0.333333,0.302601,0.762485,0.459884
in cutie\frunza sanatoasa dar galbena,healthy_yellow,556,0.301961,0.300942,77.0,0.583334,0.585715,550.0,560.0,429.29,438.107083,True,0.394872,0.382907,0.786447,0.403541
in cutie\frunza sanatoasa dar galbena,healthy_yellow,680,0.431373,0.397517,110.0,0.714286,0.658723,680.0,690.0,386.75,395.2212,True,0.564103,0.468865,0.708515,0.23965
in cutie\frunza sanatoasa dar galbena,healthy_yellow,725,0.588235,0.504424,150.0,1.020407,0.909188,720.0,730.0,545.86,541.1236,True,0.76923,0.669806,1.0,0.330194
in cutie\frunza sanatoasa dar galbena,healthy_yellow,850,0.764706,0.754842,195.0,1.523437,1.559707,850.0,860.0,420.15,413.362308,True,1.0,1.0,0.769703,0.230297
in cutie\frunza sanatoasa dar galbena,healthy_yellow,940,0.415686,0.364593,106.0,0.841269,0.710096,940.0,950.0,330.83,324.851111,True,0.543589,0.552218,0.606071,0.053853
